district_id,year,region,province,district_number,district_label
BKK_0,2569,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0
BKK_1,2569,กรุงเทพ,กรุงเทพมหานคร,1,กรุงเทพมหานคร-1
BKK_2,2569,กรุงเทพ,กรุงเทพมหานคร,2,กรุงเทพมหานคร-2
BKK_3,2569,กรุงเทพ,กรุงเทพมหานคร,3,กรุงเทพมหานคร-3
BKK_4,2569,กรุงเทพ,กรุงเทพมหานคร,4,กรุงเทพมหานคร-4
BKK_5,2569,กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร-5
BKK_6,2569,กรุงเทพ,กรุงเทพมหานคร,6,กรุงเทพมหานคร-6
BKK_7,2569,กรุงเทพ,กรุงเทพมหานคร,7,กรุงเทพมหานคร-7
BKK_8,2569,กรุงเทพ,กรุงเทพมหานคร,8,กรุงเทพมหานคร-8
BKK_9,2569,กรุงเทพ,กรุงเทพมหานคร,9,กรุงเทพมหานคร-9
BKK_10,2569,กรุงเทพ,กรุงเทพมหานคร,10,กรุงเทพมหานคร-10
BKK_11,2569,กรุงเทพ,กรุงเทพมหานคร,11,กรุงเทพมหานคร-11
BKK_12,2569,กรุงเทพ,กรุงเทพมหานคร,12,กรุงเทพมหานคร-12
BKK_13,2569,กรุงเทพ,กรุงเทพมหานคร,13,กรุงเทพมหานคร-13
BKK_14,2569,กรุงเทพ,กรุงเทพมหานคร,14,กรุงเทพมหานคร-14
BKK_15,2569,กรุงเทพ,กรุงเทพมหานคร,15,กรุงเทพมหานคร-15
BKK_16,2569,กรุงเทพ,กรุงเทพมหานคร,16,กรุงเทพมหานคร-16
BKK_17,2569,กรุงเทพ,กรุงเทพมหานคร,17,กรุงเทพมหานคร-17
BKK_18,2569,กรุงเทพ,กรุงเทพมหานคร,18,กรุงเทพมหานคร-18
BKK_19,2569,กรุงเทพ,กรุงเทพมหานคร,19,กรุงเทพมหานคร-19
BKK_20,2569,กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร-20
BKK_21,2569,กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร-21
BKK_22,2569,กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร-22
BKK_23,2569,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23
BKK_24,2569,กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร-24
BKK_25,2569,กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร-25
BKK_26,2569,กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร-26
BKK_27,2569,กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร-27
BKK_28,2569,กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร-28
BKK_29,2569,กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร-29
PTN_2,2569,ภาคใต้,ปัตตานี,2,ปัตตานี-2
BKK_30,2569,กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร-30
BKK_31,2569,กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร-31
BKK_32,2569,กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร-32
BKK_33,2569,กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร-33
SPK_1,2569,ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ-1
SPK_2,2569,ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ-2
SPK_3,2569,ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ-3
SPK_4,2569,ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ-4
SPK_5,2569,ปริมณฑล,สมุทรปราการ,5,สมุทรปราการ-5
SPK_6,2569,ปริมณฑล,สมุทรปราการ,6,สมุทรปราการ-6
SPK_7,2569,ปริมณฑล,สมุทรปราการ,7,สมุทรปราการ-7
SPK_8,2569,ปริมณฑล,สมุทรปราการ,8,สมุทรปราการ-8
NBI_1,2569,ปริมณฑล,นนทบุรี,1,นนทบุรี-1
NBI_2,2569,ปริมณฑล,นนทบุรี,2,นนทบุรี-2
NBI_3,2569,ปริมณฑล,นนทบุรี,3,นนทบุรี-3
NBI_4,2569,ปริมณฑล,นนทบุรี,4,นนทบุรี-4
NBI_5,2569,ปริมณฑล,นนทบุรี,5,นนทบุรี-5
NBI_6,2569,ปริมณฑล,นนทบุรี,6,นนทบุรี-6
NBI_7,2569,ปริมณฑล,นนทบุรี,7,นนทบุรี-7
NBI_8,2569,ปริมณฑล,นนทบุรี,8,นนทบุรี-8
PTE_1,2569,ปริมณฑล,ปทุมธานี,1,ปทุมธานี-1
PTE_2,2569,ปริมณฑล,ปทุมธานี,2,ปทุมธานี-2
PTE_3,2569,ปริมณฑล,ปทุมธานี,3,ปทุมธานี-3
PTE_4,2569,ปริมณฑล,ปทุมธานี,4,ปทุมธานี-4
PTE_5,2569,ปริมณฑล,ปทุมธานี,5,ปทุมธานี-5
PTE_6,2569,ปริมณฑล,ปทุมธานี,6,ปทุมธานี-6
PTE_7,2569,ปริมณฑล,ปทุมธานี,7,ปทุมธานี-7
PTE_8,2569,ปริมณฑล,ปทุมธานี,8,ปทุมธานี-8
AYA_1,2569,ภาคกลาง,พระนครศรีอยุธยา,1,พระนครศรีอยุธยา-1
