district_id,ballot_code,yes_votes,no_votes,voters_used,year,region,province,district_number,district_label,eligible_voters,yes_rate,referendum_turnout_rate
BKK_0,RFD,2827,586,3724,2569,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0,,0.759129968,
BKK_1,RFD,47947,26432,79245,2569,กรุงเทพ,กรุงเทพมหานคร,1,กรุงเทพมหานคร-1,130423,0.605047637,0.607599887
BKK_2,RFD,50937,26114,81960,2569,กรุงเทพ,กรุงเทพมหานคร,2,กรุงเทพมหานคร-2,136481,0.621486091,0.60052315
BKK_3,RFD,57511,25777,88357,2569,กรุงเทพ,กรุงเทพมหานคร,3,กรุงเทพมหานคร-3,122578,0.650893534,0.72082266
BKK_4,RFD,46852,24062,75703,2569,กรุงเทพ,กรุงเทพมหานคร,4,กรุงเทพมหานคร-4,129453,0.61889225,0.584791391
BKK_5,RFD,75322,25811,106053,2569,กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร-5,134016,0.710229791,0.791345809
BKK_6,RFD,67249,29424,102242,2569,กรุงเทพ,กรุงเทพมหานคร,6,กรุงเทพมหานคร-6,143144,0.657743393,0.714259766
BKK_7,RFD,52957,25833,84106,2569,กรุงเทพ,กรุงเทพมหานคร,7,กรุงเทพมหานคร-7,138276,0.629645923,0.608247274
BKK_8,RFD,60343,28951,94333,2569,กรุงเทพ,กรุงเทพมหานคร,8,กรุงเทพมหานคร-8,144067,0.639680706,0.654785621
BKK_9,RFD,72424,28614,106562,2569,กรุงเทพ,กรุงเทพมหานคร,9,กรุงเทพมหานคร-9,144296,0.679641899,0.73849587
BKK_10,RFD,59374,25236,90978,2569,กรุงเทพ,กรุงเทพมหานคร,10,กรุงเทพมหานคร-10,138687,0.652619315,0.655995155
BKK_11,RFD,66624,25212,98248,2569,กรุงเทพ,กรุงเทพมหานคร,11,กรุงเทพมหานคร-11,137319,0.678120674,0.715472731
BKK_12,RFD,72374,27513,105446,2569,กรุงเทพ,กรุงเทพมหานคร,12,กรุงเทพมหานคร-12,143148,0.686360791,0.736622237
BKK_13,RFD,60621,25749,90891,2569,กรุงเทพ,กรุงเทพมหานคร,13,กรุงเทพมหานคร-13,131707,0.666963726,0.690099995
BKK_14,RFD,58331,27587,90978,2569,กรุงเทพ,กรุงเทพมหานคร,14,กรุงเทพมหานคร-14,140341,0.641155005,0.648263872
BKK_15,RFD,61347,25605,92415,2569,กรุงเทพ,กรุงเทพมหานคร,15,กรุงเทพมหานคร-15,127758,0.663820808,0.72335979
BKK_16,RFD,67765,24720,98194,2569,กรุงเทพ,กรุงเทพมหานคร,16,กรุงเทพมหานคร-16,138261,0.690113449,0.710207506
BKK_17,RFD,47209,22450,77061,2569,กรุงเทพ,กรุงเทพมหานคร,17,กรุงเทพมหานคร-17,120704,0.612618575,0.638429547
BKK_18,RFD,49790,23450,80272,2569,กรุงเทพ,กรุงเทพมหานคร,18,กรุงเทพมหานคร-18,122857,0.620266095,0.653377504
BKK_19,RFD,61577,27065,94102,2569,กรุงเทพ,กรุงเทพมหานคร,19,กรุงเทพมหานคร-19,135594,0.654364413,0.69399826
BKK_20,RFD,70717,20791,98157,2569,กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร-20,126504,0.720447854,0.775920129
BKK_21,RFD,58816,24423,88836,2569,กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร-21,136677,0.662073934,0.649970368
