district_id,year,ballot_code,region,province,district_number,district_label,eligible_voters,voters_used,valid_votes,invalid_votes,no_vote,turnout_rate
BKK_0,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0,,0,0,0,0,
BKK_0,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0,,0,0,0,0,
BKK_1,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,1,กรุงเทพมหานคร-1,130423,78449,73354,1083,4012,0.601496669
BKK_1,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,1,กรุงเทพมหานคร-1,130423,78155,74515,1590,2050,0.599242465
BKK_2,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,2,กรุงเทพมหานคร-2,136481,84672,78713,1319,4640,0.620394048
BKK_2,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,2,กรุงเทพมหานคร-2,136481,84550,80804,1432,2314,0.61950015
BKK_3,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,3,กรุงเทพมหานคร-3,122578,77999,72671,1353,3975,0.636321363
BKK_3,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,3,กรุงเทพมหานคร-3,122578,78327,75007,1381,1939,0.63899721
BKK_4,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,4,กรุงเทพมหานคร-4,129453,74760,70338,1370,3052,0.577506894
BKK_4,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,4,กรุงเทพมหานคร-4,129453,74571,71263,1586,1722,0.576046905
BKK_5,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร-5,134016,92193,86672,1223,4298,0.687925322
BKK_5,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร-5,134016,91822,88341,1372,2109,0.685156996
BKK_6,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,6,กรุงเทพมหานคร-6,143144,96139,89947,1327,4865,0.671624378
BKK_6,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,6,กรุงเทพมหานคร-6,143144,95985,91803,1732,2450,0.670548539
BKK_7,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,7,กรุงเทพมหานคร-7,138276,87360,80487,1556,5317,0.631779918
BKK_7,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,7,กรุงเทพมหานคร-7,138276,87437,83240,1600,2597,0.632336776
BKK_8,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,8,กรุงเทพมหานคร-8,144067,93179,86197,1530,5452,0.646775459
BKK_8,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,8,กรุงเทพมหานคร-8,144067,92607,88593,1576,2438,0.642805084
BKK_9,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,9,กรุงเทพมหานคร-9,144296,97958,90662,1523,5773,0.678868437
BKK_9,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,9,กรุงเทพมหานคร-9,144296,97497,93330,1493,2674,0.675673615
BKK_10,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,10,กรุงเทพมหานคร-10,138687,90627,83784,1415,5428,0.653464276
BKK_10,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,10,กรุงเทพมหานคร-10,138687,90689,86401,1676,2612,0.653911326
BKK_11,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,11,กรุงเทพมหานคร-11,137319,95230,90059,1171,4000,0.693494709
BKK_11,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,11,กรุงเทพมหานคร-11,137319,95046,90987,1664,2395,0.692154764
BKK_12,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,12,กรุงเทพมหานคร-12,143148,100659,93925,1483,5251,0.703181323
BKK_12,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,12,กรุงเทพมหานคร-12,143148,100578,96726,1412,2440,0.702615475
BKK_13,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,13,กรุงเทพมหานคร-13,131707,85806,79890,1185,4731,0.651491568
BKK_13,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,13,กรุงเทพมหานคร-13,131707,86328,83019,1260,2049,0.655454911
BKK_14,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,14,กรุงเทพมหานคร-14,140341,89044,83986,1306,3752,0.634483152
BKK_14,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,14,กรุงเทพมหานคร-14,140341,89210,85722,1436,2052,0.635665985
BKK_15,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,15,กรุงเทพมหานคร-15,127758,87827,81890,1269,4668,0.687448144
BKK_15,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,15,กรุงเทพมหานคร-15,127758,88267,84493,1533,2241,0.690892155
BKK_16,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,16,กรุงเทพมหานคร-16,138261,91334,85747,1310,4277,0.660591201
BKK_16,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,16,กรุงเทพมหานคร-16,138261,91349,87701,1342,2306,0.660699691
BKK_17,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,17,กรุงเทพมหานคร-17,120704,75113,68125,1844,5144,0.622290893
BKK_17,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,17,กรุงเทพมหานคร-17,120704,75330,70229,2098,3003,0.62408868
BKK_18,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,18,กรุงเทพมหานคร-18,122857,79260,73057,1334,4869,0.645140285
BKK_18,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,18,กรุงเทพมหานคร-18,122857,79194,74583,2113,2498,0.644603075
BKK_19,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,19,กรุงเทพมหานคร-19,135594,89867,83857,1517,4493,0.662765314
BKK_19,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,19,กรุงเทพมหานคร-19,135594,89867,86264,1496,2107,0.662765314
BKK_20,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร-20,126504,78913,74013,1611,3289,0.623798457
BKK_20,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร-20,126504,78727,74772,1764,2191,0.622328148
BKK_21,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร-21,136677,87981,83023,1387,3571,0.643714744
BKK_21,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร-21,136677,88211,84537,1407,2267,0.645397543
BKK_22,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร-22,133669,87232,80888,1419,4925,0.652597087
BKK_22,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร-22,133669,87319,83561,1401,2357,0.653247948
BKK_23,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23,144136,95094,89186,1016,4892,0.659751901
BKK_23,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23,144136,90844,87246,1242,2356,0.63026586
BKK_24,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร-24,142161,91552,84371,1800,5381,0.644002223
BKK_24,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร-24,142161,91523,87082,1702,2739,0.643798229
BKK_25,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร-25,126847,82288,77290,1348,3650,0.648718535
BKK_25,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร-25,126847,82302,78280,1811,2211,0.648828904
BKK_26,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร-26,139473,89312,82875,1707,4730,0.64035333
BKK_26,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร-26,139473,89327,84984,1947,2396,0.640460878
BKK_27,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร-27,134519,91070,85471,1503,4096,0.677004735
BKK_27,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร-27,134519,91070,86860,1721,2489,0.677004735
BKK_28,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร-28,139847,77195,71197,1534,4464,0.55199611
BKK_28,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร-28,139847,76799,73131,1463,2205,0.549164444
BKK_29,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร-29,144498,95801,88794,1762,5245,0.662991875
BKK_29,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร-29,144498,95693,90731,2254,2708,0.66224446
BKK_30,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร-30,143904,96587,89793,1438,5356,0.671190516
BKK_30,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร-30,143904,98344,93806,1828,2710,0.683400044
BKK_31,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร-31,143811,102192,93621,1887,6684,0.710599328
BKK_31,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร-31,143811,102329,96994,1977,3358,0.711551968
BKK_32,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร-32,139079,87928,80054,2145,5729,0.632216222
BKK_32,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร-32,139079,88018,83294,1992,2732,0.632863337
BKK_33,2569,CONS,กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร-33,148223,90725,83494,1884,5347,0.612084494
BKK_33,2569,PARTY,กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร-33,148223,90680,86400,1664,2616,0.611780898
SPK_1,2569,CONS,ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ-1,130808,91637,82985,3986,4666,0.700545838
SPK_1,2569,PARTY,ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ-1,130808,91610,85893,2840,2877,0.700339429
SPK_2,2569,CONS,ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ-2,129020,89085,82529,2357,4199,0.690474345
SPK_2,2569,PARTY,ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ-2,129020,89327,83407,2883,3037,0.692350023
SPK_3,2569,CONS,ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ-3,141171,88659,81428,2232,4999,0.628025586
SPK_3,2569,PARTY,ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ-3,141171,91858,86591,2110,3157,0.650686047
SPK_4,2569,CONS,ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ-4,136475,90493,83459,1513,5521,0.663073823
SPK_4,2569,PARTY,ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ-4,136475,88654,84354,1482,2818,0.649598828
