ballot_code,rank_type,region,province,district_number,district_label,eligible_voters,voters_used,turnout_rate
CON,Top 10,ภาคใต้,พัทลุง,1,พัทลุง-1,134471.0,109161,0.8117809787984026
CON,Top 10,ภาคใต้,พัทลุง,2,พัทลุง-2,144593.0,116111,0.8030195099347824
CON,Top 10,ภาคกลาง,ราชบุรี,5,ราชบุรี-5,133947.0,105963,0.7910815471791082
CON,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา-2,145059.0,114004,0.7859146967785522
CON,Top 10,ภาคกลาง,สุพรรณบุรี,3,สุพรรณบุรี-3,130523.0,102367,0.7842832297755951
CON,Top 10,ภาคกลาง,นครปฐม,5,นครปฐม-5,131195.0,101823,0.7761195167498761
CON,Top 10,ภาคเหนือ,เชียงใหม่,8,เชียงใหม่-8,141140.0,109425,0.7752940342921921
CON,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,4,ฉะเชิงเทรา-4,151927.0,117546,0.7737005272268919
CON,Top 10,ภาคเหนือ,ลำพูน,2,ลำพูน-2,162629.0,125270,0.7702808232234103
CON,Top 10,ภาคใต้,สงขลา,4,สงขลา-4,126692.0,97257,0.7676648880750165
CON,Bottom 10,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0,,0,0.0
CON,Bottom 10,ภาคอีสาน,ชัยภูมิ,1,ชัยภูมิ-1,129441.0,14912,0.11520306548929628
CON,Bottom 10,ภาคตะวันออก,ระยอง,4,ระยอง-4,129476.0,57717,0.44577373412833265
CON,Bottom 10,ภาคอีสาน,ชัยภูมิ,4,ชัยภูมิ-4,121184.0,54838,0.4525184842883549
CON,Bottom 10,ภาคตะวันออก,ชลบุรี,9,ชลบุรี-9,122755.0,62578,0.5097796423770926
CON,Bottom 10,ภาคอีสาน,ร้อยเอ็ด,5,ร้อยเอ็ด-5,133199.0,68205,0.5120533937942477
CON,Bottom 10,ภาคอีสาน,สุรินทร์,4,สุรินทร์-4,139651.0,72193,0.5169529756321115
CON,Bottom 10,ภาคกลาง,สระบุรี,3,สระบุรี-3,125851.0,65098,0.5172624770562014
CON,Bottom 10,ภาคอีสาน,สุรินทร์,5,สุรินทร์-5,135554.0,70625,0.52101007716482
CON,Bottom 10,ภาคอีสาน,อุดรธานี,7,อุดรธานี-7,128249.0,67107,0.5232555419535435
PL,Top 10,ภาคกลาง,ราชบุรี,5,ราชบุรี-5,133947.0,105391,0.7868112014453478
PL,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา-2,145059.0,113603,0.783150304358916
PL,Top 10,ภาคกลาง,สุพรรณบุรี,3,สุพรรณบุรี-3,130523.0,101561,0.7781080729066908
PL,Top 10,ภาคเหนือ,เชียงใหม่,8,เชียงใหม่-8,141140.0,109758,0.7776533937933966
PL,Top 10,ภาคกลาง,นครปฐม,5,นครปฐม-5,131195.0,101962,0.7771790083463547
PL,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,4,ฉะเชิงเทรา-4,151927.0,117390,0.7726737182989198
PL,Top 10,ภาคเหนือ,ลำพูน,2,ลำพูน-2,162629.0,125137,0.7694630109021147
PL,Top 10,ภาคใต้,สงขลา,4,สงขลา-4,126692.0,97341,0.7683279133646955
PL,Top 10,ภาคใต้,สุราษฎร์ธานี,6,สุราษฎร์ธานี-6,125055.0,96016,0.7677901723241773
PL,Top 10,ภาคกลาง,ราชบุรี,4,ราชบุรี-4,140248.0,107518,0.766627688095374
PL,Bottom 10,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0,,0,0.0
PL,Bottom 10,ภาคอีสาน,ชัยภูมิ,1,ชัยภูมิ-1,129441.0,15241,0.11774476402376373
PL,Bottom 10,ภาคตะวันออก,ระยอง,4,ระยอง-4,129476.0,52640,0.40656183385337824
PL,Bottom 10,ภาคอีสาน,ชัยภูมิ,4,ชัยภูมิ-4,121184.0,54592,0.45048851333509377
PL,Bottom 10,ภาคอีสาน,ศรีสะเกษ,6,ศรีสะเกษ-6,128761.0,60564,0.4703598139188108
PL,Bottom 10,ภาคตะวันออก,ชลบุรี,9,ชลบุรี-9,122755.0,62757,0.5112378314528939
PL,Bottom 10,ภาคอีสาน,สุรินทร์,4,สุรินทร์-4,139651.0,71455,0.5116683733020172
PL,Bottom 10,ภาคอีสาน,สุรินทร์,5,สุรินทร์-5,135554.0,69778,0.51476164480576
PL,Bottom 10,ภาคอีสาน,อุดรธานี,7,อุดรธานี-7,128249.0,66215,0.5163003220298014
PL,Bottom 10,ภาคกลาง,สระบุรี,3,สระบุรี-3,125851.0,66275,0.5266148063980421
RFD,Top 10,ภาคเหนือ,เชียงใหม่,1,เชียงใหม่-1,137793.0,119595,0.8679323332825325
RFD,Top 10,ภาคตะวันออก,ชลบุรี,1,ชลบุรี-1,133544.0,111440,0.8344815191996645
RFD,Top 10,ภาคกลาง,ราชบุรี,5,ราชบุรี-5,133947.0,106569,0.7956057246522878
RFD,Top 10,กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร-5,134016.0,106053,0.7913458094555874
RFD,Top 10,ภาคกลาง,นครปฐม,2,นครปฐม-2,120935.0,95166,0.7869185926324058
RFD,Top 10,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23,144136.0,113423,0.7869165232835655
RFD,Top 10,ปริมณฑล,ปทุมธานี,2,ปทุมธานี-2,128901.0,101031,0.7837875578932669
RFD,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,4,ฉะเชิงเทรา-4,151927.0,118734,0.7815200721399093
RFD,Top 10,กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร-20,126504.0,98157,0.7759201290077784
RFD,Top 10,ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา-2,145059.0,111597,0.7693214485140529
RFD,Bottom 10,กรุงเทพ,กรุงเทพมหานคร,0,กรุงเทพมหานคร-0,,3724,0.0
