district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key
BKK_1,2569,CONS,candidate,129.0,ประชาชน,32564,1,กรุงเทพ,กรุงเทพมหานคร,1,กรุงเทพมหานคร-1,78449,0.415097707,129,กรุงเทพมหานคร_1
BKK_2,2569,CONS,candidate,129.0,ประชาชน,37055,1,กรุงเทพ,กรุงเทพมหานคร,2,กรุงเทพมหานคร-2,84672,0.437629913,129,กรุงเทพมหานคร_2
BKK_3,2569,CONS,candidate,129.0,ประชาชน,32753,1,กรุงเทพ,กรุงเทพมหานคร,3,กรุงเทพมหานคร-3,77999,0.41991564,129,กรุงเทพมหานคร_3
BKK_4,2569,CONS,candidate,129.0,ประชาชน,30477,1,กรุงเทพ,กรุงเทพมหานคร,4,กรุงเทพมหานคร-4,74760,0.407664526,129,กรุงเทพมหานคร_4
BKK_5,2569,CONS,candidate,129.0,ประชาชน,43394,1,กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร-5,92193,0.470686495,129,กรุงเทพมหานคร_5
BKK_6,2569,CONS,candidate,129.0,ประชาชน,41394,1,กรุงเทพ,กรุงเทพมหานคร,6,กรุงเทพมหานคร-6,96139,0.430564079,129,กรุงเทพมหานคร_6
BKK_7,2569,CONS,candidate,129.0,ประชาชน,38574,1,กรุงเทพ,กรุงเทพมหานคร,7,กรุงเทพมหานคร-7,87360,0.441552198,129,กรุงเทพมหานคร_7
BKK_8,2569,CONS,candidate,129.0,ประชาชน,39081,1,กรุงเทพ,กรุงเทพมหานคร,8,กรุงเทพมหานคร-8,93179,0.419418539,129,กรุงเทพมหานคร_8
BKK_9,2569,CONS,candidate,129.0,ประชาชน,47108,1,กรุงเทพ,กรุงเทพมหานคร,9,กรุงเทพมหานคร-9,97958,0.480899978,129,กรุงเทพมหานคร_9
BKK_10,2569,CONS,candidate,129.0,ประชาชน,37489,1,กรุงเทพ,กรุงเทพมหานคร,10,กรุงเทพมหานคร-10,90627,0.413662595,129,กรุงเทพมหานคร_10
BKK_11,2569,CONS,candidate,129.0,ประชาชน,36844,1,กรุงเทพ,กรุงเทพมหานคร,11,กรุงเทพมหานคร-11,95230,0.386894886,129,กรุงเทพมหานคร_11
BKK_12,2569,CONS,candidate,129.0,ประชาชน,44824,1,กรุงเทพ,กรุงเทพมหานคร,12,กรุงเทพมหานคร-12,100659,0.445305437,129,กรุงเทพมหานคร_12
BKK_13,2569,CONS,candidate,129.0,ประชาชน,39644,1,กรุงเทพ,กรุงเทพมหานคร,13,กรุงเทพมหานคร-13,85806,0.462018973,129,กรุงเทพมหานคร_13
BKK_14,2569,CONS,candidate,129.0,ประชาชน,36911,1,กรุงเทพ,กรุงเทพมหานคร,14,กรุงเทพมหานคร-14,89044,0.414525403,129,กรุงเทพมหานคร_14
BKK_15,2569,CONS,candidate,129.0,ประชาชน,35586,1,กรุงเทพ,กรุงเทพมหานคร,15,กรุงเทพมหานคร-15,87827,0.405182916,129,กรุงเทพมหานคร_15
BKK_16,2569,CONS,candidate,129.0,ประชาชน,41727,1,กรุงเทพ,กรุงเทพมหานคร,16,กรุงเทพมหานคร-16,91334,0.456861629,129,กรุงเทพมหานคร_16
BKK_17,2569,CONS,candidate,129.0,ประชาชน,27187,1,กรุงเทพ,กรุงเทพมหานคร,17,กรุงเทพมหานคร-17,75113,0.361947998,129,กรุงเทพมหานคร_17
BKK_18,2569,CONS,candidate,129.0,ประชาชน,31027,1,กรุงเทพ,กรุงเทพมหานคร,18,กรุงเทพมหานคร-18,79260,0.391458491,129,กรุงเทพมหานคร_18
BKK_19,2569,CONS,candidate,129.0,ประชาชน,38566,1,กรุงเทพ,กรุงเทพมหานคร,19,กรุงเทพมหานคร-19,89867,0.429145292,129,กรุงเทพมหานคร_19
BKK_21,2569,CONS,candidate,129.0,ประชาชน,41256,1,กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร-21,87981,0.468919426,129,กรุงเทพมหานคร_21
BKK_22,2569,CONS,candidate,129.0,ประชาชน,39831,1,กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร-22,87232,0.45660996,129,กรุงเทพมหานคร_22
BKK_23,2569,CONS,candidate,129.0,ประชาชน,44381,1,กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร-23,95094,0.466706627,129,กรุงเทพมหานคร_23
BKK_24,2569,CONS,candidate,129.0,ประชาชน,43857,1,กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร-24,91552,0.479039235,129,กรุงเทพมหานคร_24
BKK_25,2569,CONS,candidate,129.0,ประชาชน,33581,1,กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร-25,82288,0.408091095,129,กรุงเทพมหานคร_25
BKK_26,2569,CONS,candidate,129.0,ประชาชน,40407,1,กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร-26,89312,0.452425206,129,กรุงเทพมหานคร_26
BKK_27,2569,CONS,candidate,129.0,ประชาชน,40639,1,กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร-27,91070,0.446239157,129,กรุงเทพมหานคร_27
BKK_28,2569,CONS,candidate,129.0,ประชาชน,37355,1,กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร-28,77195,0.483904398,129,กรุงเทพมหานคร_28
BKK_29,2569,CONS,candidate,129.0,ประชาชน,42268,1,กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร-29,95801,0.44120625,129,กรุงเทพมหานคร_29
BKK_30,2569,CONS,candidate,129.0,ประชาชน,44737,1,กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร-30,96587,0.463178275,129,กรุงเทพมหานคร_30
BKK_31,2569,CONS,candidate,129.0,ประชาชน,42717,1,กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร-31,102192,0.41800728,129,กรุงเทพมหานคร_31
BKK_32,2569,CONS,candidate,129.0,ประชาชน,36963,1,กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร-32,87928,0.420378037,129,กรุงเทพมหานคร_32
BKK_33,2569,CONS,candidate,129.0,ประชาชน,39831,1,กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร-33,90725,0.439030036,129,กรุงเทพมหานคร_33
SPK_1,2569,CONS,candidate,129.0,ประชาชน,41275,1,ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ-1,91637,0.450418499,129,สมุทรปราการ_1
SPK_2,2569,CONS,candidate,129.0,ประชาชน,37424,1,ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ-2,89085,0.420093169,129,สมุทรปราการ_2
SPK_3,2569,CONS,candidate,129.0,ประชาชน,41362,1,ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ-3,88659,0.466529061,129,สมุทรปราการ_3
SPK_4,2569,CONS,candidate,129.0,ประชาชน,43764,1,ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ-4,90493,0.483617517,129,สมุทรปราการ_4
SPK_5,2569,CONS,candidate,129.0,ประชาชน,50599,1,ปริมณฑล,สมุทรปราการ,5,สมุทรปราการ-5,98647,0.512929942,129,สมุทรปราการ_5
SPK_7,2569,CONS,candidate,129.0,ประชาชน,43609,1,ปริมณฑล,สมุทรปราการ,7,สมุทรปราการ-7,99665,0.437555812,129,สมุทรปราการ_7
SPK_8,2569,CONS,candidate,129.0,ประชาชน,37562,1,ปริมณฑล,สมุทรปราการ,8,สมุทรปราการ-8,105164,0.357175459,129,สมุทรปราการ_8
NBI_1,2569,CONS,candidate,129.0,ประชาชน,38190,1,ปริมณฑล,นนทบุรี,1,นนทบุรี-1,92943,0.410897001,129,นนทบุรี_1
NBI_2,2569,CONS,candidate,129.0,ประชาชน,35675,1,ปริมณฑล,นนทบุรี,2,นนทบุรี-2,83203,0.428770597,129,นนทบุรี_2
NBI_3,2569,CONS,candidate,129.0,ประชาชน,35655,1,ปริมณฑล,นนทบุรี,3,นนทบุรี-3,80564,0.4425674,129,นนทบุรี_3
NBI_4,2569,CONS,candidate,129.0,ประชาชน,28502,1,ปริมณฑล,นนทบุรี,4,นนทบุรี-4,77244,0.368986588,129,นนทบุรี_4
NBI_5,2569,CONS,candidate,129.0,ประชาชน,39741,1,ปริมณฑล,นนทบุรี,5,นนทบุรี-5,98977,0.401517524,129,นนทบุรี_5
NBI_6,2569,CONS,candidate,129.0,ประชาชน,42126,1,ปริมณฑล,นนทบุรี,6,นนทบุรี-6,104901,0.401578631,129,นนทบุรี_6
NBI_7,2569,CONS,candidate,129.0,ประชาชน,37481,1,ปริมณฑล,นนทบุรี,7,นนทบุรี-7,94948,0.394752917,129,นนทบุรี_7
NBI_8,2569,CONS,candidate,129.0,ประชาชน,36749,1,ปริมณฑล,นนทบุรี,8,นนทบุรี-8,98052,0.374790927,129,นนทบุรี_8
PTE_1,2569,CONS,candidate,129.0,ประชาชน,30452,1,ปริมณฑล,ปทุมธานี,1,ปทุมธานี-1,96543,0.315424215,129,ปทุมธานี_1
PTE_3,2569,CONS,candidate,129.0,ประชาชน,39732,1,ปริมณฑล,ปทุมธานี,3,ปทุมธานี-3,88840,0.447230977,129,ปทุมธานี_3
PTE_4,2569,CONS,candidate,129.0,ประชาชน,36892,1,ปริมณฑล,ปทุมธานี,4,ปทุมธานี-4,90732,0.406604065,129,ปทุมธานี_4
PTE_6,2569,CONS,candidate,129.0,ประชาชน,38628,1,ปริมณฑล,ปทุมธานี,6,ปทุมธานี-6,83592,0.462101637,129,ปทุมธานี_6
CBI_2,2569,CONS,candidate,129.0,ประชาชน,28143,1,ภาคตะวันออก,ชลบุรี,2,ชลบุรี-2,78872,0.356818643,129,ชลบุรี_2
CBI_6,2569,CONS,candidate,129.0,ประชาชน,36759,1,ภาคตะวันออก,ชลบุรี,6,ชลบุรี-6,88248,0.416542018,129,ชลบุรี_6
CBI_7,2569,CONS,candidate,129.0,ประชาชน,37862,1,ภาคตะวันออก,ชลบุรี,7,ชลบุรี-7,84276,0.449261949,129,ชลบุรี_7
CBI_9,2569,CONS,candidate,129.0,ประชาชน,24410,1,ภาคตะวันออก,ชลบุรี,9,ชลบุรี-9,62578,0.390073189,129,ชลบุรี_9
RYG_1,2569,CONS,candidate,129.0,ประชาชน,33569,1,ภาคตะวันออก,ระยอง,1,ระยอง-1,85173,0.394127247,129,ระยอง_1
RYG_2,2569,CONS,candidate,129.0,ประชาชน,30488,1,ภาคตะวันออก,ระยอง,2,ระยอง-2,71887,0.424110062,129,ระยอง_2
RYG_5,2569,CONS,candidate,129.0,ประชาชน,35743,1,ภาคตะวันออก,ระยอง,5,ระยอง-5,85239,0.419326834,129,ระยอง_5
NMA_1,2569,CONS,candidate,129.0,ประชาชน,30597,1,ภาคอีสาน,นครราชสีมา,1,นครราชสีมา-1,85005,0.359943533,129,นครราชสีมา_1
NMA_3,2569,CONS,candidate,129.0,ประชาชน,35910,1,ภาคอีสาน,นครราชสีมา,3,นครราชสีมา-3,97321,0.368985111,129,นครราชสีมา_3
KKN_1,2569,CONS,candidate,129.0,ประชาชน,33395,1,ภาคอีสาน,ขอนแก่น,1,ขอนแก่น-1,86314,0.386901314,129,ขอนแก่น_1
KKN_2,2569,CONS,candidate,129.0,ประชาชน,38712,1,ภาคอีสาน,ขอนแก่น,2,ขอนแก่น-2,99877,0.387596744,129,ขอนแก่น_2
UDN_1,2569,CONS,candidate,129.0,ประชาชน,29523,1,ภาคอีสาน,อุดรธานี,1,อุดรธานี-1,81594,0.361828076,129,อุดรธานี_1
CMI_4,2569,CONS,candidate,129.0,ประชาชน,42345,1,ภาคเหนือ,เชียงใหม่,4,เชียงใหม่-4,102392,0.4135577,129,เชียงใหม่_4
CMI_1,2569,CONS,candidate,129.0,ประชาชน,40228,1,ภาคเหนือ,เชียงใหม่,1,เชียงใหม่-1,89928,0.447335646,129,เชียงใหม่_1
CMI_2,2569,CONS,candidate,129.0,ประชาชน,43744,1,ภาคเหนือ,เชียงใหม่,2,เชียงใหม่-2,99960,0.437615046,129,เชียงใหม่_2
CMI_3,2569,CONS,candidate,129.0,ประชาชน,41778,1,ภาคเหนือ,เชียงใหม่,3,เชียงใหม่-3,98354,0.424771743,129,เชียงใหม่_3
CMI_8,2569,CONS,candidate,129.0,ประชาชน,54200,1,ภาคเหนือ,เชียงใหม่,8,เชียงใหม่-8,109425,0.495316427,129,เชียงใหม่_8
LPN_1,2569,CONS,candidate,129.0,ประชาชน,54610,1,ภาคเหนือ,ลำพูน,1,ลำพูน-1,116041,0.470609526,129,ลำพูน_1
LPG_1,2569,CONS,candidate,129.0,ประชาชน,44799,1,ภาคเหนือ,ลำปาง,1,ลำปาง-1,105108,0.426218746,129,ลำปาง_1
LPG_3,2569,CONS,candidate,129.0,ประชาชน,33259,1,ภาคเหนือ,ลำปาง,3,ลำปาง-3,98883,0.336346996,129,ลำปาง_3
PLK_1,2569,CONS,candidate,129.0,ประชาชน,32516,1,ภาคเหนือ,พิษณุโลก,1,พิษณุโลก-1,93310,0.348472832,129,พิษณุโลก_1
NPT_6,2569,CONS,candidate,129.0,ประชาชน,35930,1,ภาคกลาง,นครปฐม,6,นครปฐม-6,91420,0.393021221,129,นครปฐม_6
SKN_1,2569,CONS,candidate,129.0,ประชาชน,30284,1,ปริมณฑล,สมุทรสาคร,1,สมุทรสาคร-1,81449,0.371815492,129,สมุทรสาคร_1
SKN_3,2569,CONS,candidate,129.0,ประชาชน,28126,1,ปริมณฑล,สมุทรสาคร,3,สมุทรสาคร-3,76102,0.369582928,129,สมุทรสาคร_3
SKM_1,2569,CONS,candidate,129.0,ประชาชน,37509,1,ภาคกลาง,สมุทรสงคราม,1,สมุทรสงคราม-1,107475,0.349002094,129,สมุทรสงคราม_1
PKT_1,2569,CONS,candidate,129.0,ประชาชน,18463,1,ภาคใต้,ภูเก็ต,1,ภูเก็ต-1,69548,0.265471329,129,ภูเก็ต_1
PKT_2,2569,CONS,candidate,129.0,ประชาชน,21359,1,ภาคใต้,ภูเก็ต,2,ภูเก็ต-2,64503,0.331131885,129,ภูเก็ต_2
