district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key,2566_winner
SPK_6,2569,CONS,candidate,63.0,ภูมิใจไทย,33686,1,ปริมณฑล,สมุทรปราการ,6,สมุทรปราการ-6,86953,0.38740469,63,สมุทรปราการ_6,ก้าวไกล
PTE_2,2569,CONS,candidate,34.0,เพื่อไทย,34695,1,ปริมณฑล,ปทุมธานี,2,ปทุมธานี-2,97616,0.355423291,34,ปทุมธานี_2,ก้าวไกล
PTE_7,2569,CONS,candidate,63.0,ภูมิใจไทย,44519,1,ปริมณฑล,ปทุมธานี,7,ปทุมธานี-7,87221,0.51041607,63,ปทุมธานี_7,ก้าวไกล
AYA_1,2569,CONS,candidate,63.0,ภูมิใจไทย,43361,1,ภาคกลาง,พระนครศรีอยุธยา,1,พระนครศรีอยุธยา-1,99087,0.437605337,63,พระนครศรีอยุธยา_1,ก้าวไกล
AYA_2,2569,CONS,candidate,63.0,ภูมิใจไทย,51200,1,ภาคกลาง,พระนครศรีอยุธยา,2,พระนครศรีอยุธยา-2,98074,0.522054775,63,พระนครศรีอยุธยา_2,ก้าวไกล
LRI_2,2569,CONS,candidate,63.0,ภูมิใจไทย,55191,1,ภาคกลาง,ลพบุรี,2,ลพบุรี-2,110985,0.497283417,63,ลพบุรี_2,ก้าวไกล
SRI_1,2569,CONS,candidate,63.0,ภูมิใจไทย,29968,1,ภาคกลาง,สระบุรี,1,สระบุรี-1,91835,0.326324386,63,สระบุรี_1,ก้าวไกล
CBI_1,2569,CONS,candidate,63.0,ภูมิใจไทย,43703,1,ภาคตะวันออก,ชลบุรี,1,ชลบุรี-1,98894,0.441917609,63,ชลบุรี_1,ก้าวไกล
CBI_3,2569,CONS,candidate,63.0,ภูมิใจไทย,39906,1,ภาคตะวันออก,ชลบุรี,3,ชลบุรี-3,92645,0.430741001,63,ชลบุรี_3,ก้าวไกล
CBI_8,2569,CONS,candidate,63.0,ภูมิใจไทย,35060,1,ภาคตะวันออก,ชลบุรี,8,ชลบุรี-8,86649,0.404620942,63,ชลบุรี_8,ก้าวไกล
RYG_3,2569,CONS,candidate,1.0,ประชาธิปัตย์,25516,1,ภาคตะวันออก,ระยอง,3,ระยอง-3,80115,0.318492168,1,ระยอง_3,ก้าวไกล
RYG_4,2569,CONS,candidate,63.0,ภูมิใจไทย,32408,1,ภาคตะวันออก,ระยอง,4,ระยอง-4,57717,0.561498345,63,ระยอง_4,ก้าวไกล
CTI_1,2569,CONS,candidate,63.0,ภูมิใจไทย,31182,1,ภาคตะวันออก,จันทบุรี,1,จันทบุรี-1,105152,0.296542149,63,จันทบุรี_1,ก้าวไกล
CTI_2,2569,CONS,candidate,63.0,ภูมิใจไทย,37377,1,ภาคตะวันออก,จันทบุรี,2,จันทบุรี-2,94138,0.397044764,63,จันทบุรี_2,ก้าวไกล
CTI_3,2569,CONS,candidate,63.0,ภูมิใจไทย,30286,1,ภาคตะวันออก,จันทบุรี,3,จันทบุรี-3,96465,0.313958431,63,จันทบุรี_3,ก้าวไกล
TRT_1,2569,CONS,candidate,63.0,ภูมิใจไทย,62391,1,ภาคตะวันออก,ตราด,1,ตราด-1,112944,0.552406502,63,ตราด_1,ก้าวไกล
CCO_4,2569,CONS,candidate,218.0,กล้าธรรม,45411,1,ภาคตะวันออก,ฉะเชิงเทรา,4,ฉะเชิงเทรา-4,117546,0.386325353,218,ฉะเชิงเทรา_4,ก้าวไกล
PRI_2,2569,CONS,candidate,63.0,ภูมิใจไทย,41694,1,ภาคตะวันออก,ปราจีนบุรี,2,ปราจีนบุรี-2,101887,0.409218055,63,ปราจีนบุรี_2,ก้าวไกล
NMA_2,2569,CONS,candidate,34.0,เพื่อไทย,37543,1,ภาคอีสาน,นครราชสีมา,2,นครราชสีมา-2,95437,0.393379926,34,นครราชสีมา_2,ก้าวไกล
KKN_3,2569,CONS,candidate,218.0,กล้าธรรม,27524,1,ภาคอีสาน,ขอนแก่น,3,ขอนแก่น-3,83342,0.330253654,218,ขอนแก่น_3,ก้าวไกล
MDH_2,2569,CONS,candidate,218.0,กล้าธรรม,39782,1,ภาคอีสาน,มุกดาหาร,2,มุกดาหาร-2,90167,0.441203545,218,มุกดาหาร_2,ก้าวไกล
CMI_6,2569,CONS,candidate,218.0,กล้าธรรม,30287,1,ภาคเหนือ,เชียงใหม่,6,เชียงใหม่-6,80199,0.3776481,218,เชียงใหม่_6,ก้าวไกล
CMI_7,2569,CONS,candidate,218.0,กล้าธรรม,31146,1,ภาคเหนือ,เชียงใหม่,7,เชียงใหม่-7,92980,0.334975263,218,เชียงใหม่_7,ก้าวไกล
LPG_4,2569,CONS,candidate,218.0,กล้าธรรม,36082,1,ภาคเหนือ,ลำปาง,4,ลำปาง-4,110109,0.327693467,218,ลำปาง_4,ก้าวไกล
CRI_1,2569,CONS,candidate,34.0,เพื่อไทย,40692,1,ภาคเหนือ,เชียงราย,1,เชียงราย-1,95437,0.426375515,34,เชียงราย_1,ก้าวไกล
CRI_3,2569,CONS,candidate,218.0,กล้าธรรม,32028,1,ภาคเหนือ,เชียงราย,3,เชียงราย-3,93836,0.341318897,218,เชียงราย_3,ก้าวไกล
CRI_6,2569,CONS,candidate,218.0,กล้าธรรม,26778,1,ภาคเหนือ,เชียงราย,6,เชียงราย-6,80489,0.332691424,218,เชียงราย_6,ก้าวไกล
NSN_1,2569,CONS,candidate,63.0,ภูมิใจไทย,44878,1,ภาคเหนือ,นครสวรรค์,1,นครสวรรค์-1,86040,0.521594607,63,นครสวรรค์_1,ก้าวไกล
TAK_1,2569,CONS,candidate,63.0,ภูมิใจไทย,34932,1,ภาคเหนือ,ตาก,1,ตาก-1,92848,0.376227813,63,ตาก_1,ก้าวไกล
TAK_2,2569,CONS,candidate,218.0,กล้าธรรม,23734,1,ภาคเหนือ,ตาก,2,ตาก-2,85013,0.279180831,218,ตาก_2,ก้าวไกล
PLK_5,2569,CONS,candidate,63.0,ภูมิใจไทย,31777,1,ภาคเหนือ,พิษณุโลก,5,พิษณุโลก-5,84963,0.374009863,63,พิษณุโลก_5,ก้าวไกล
NPT_4,2569,CONS,candidate,63.0,ภูมิใจไทย,47660,1,ภาคกลาง,นครปฐม,4,นครปฐม-4,97530,0.488670153,63,นครปฐม_4,ก้าวไกล
SKN_2,2569,CONS,candidate,63.0,ภูมิใจไทย,32629,1,ปริมณฑล,สมุทรสาคร,2,สมุทรสาคร-2,78260,0.416930744,63,สมุทรสาคร_2,ก้าวไกล
PKT_3,2569,CONS,candidate,218.0,กล้าธรรม,29323,1,ภาคใต้,ภูเก็ต,3,ภูเก็ต-3,78539,0.373355912,218,ภูเก็ต_3,ก้าวไกล
