province,seats_2566,seats_2569,region,delta,status
กรุงเทพมหานคร,32.0,33.0,กรุงเทพ,1.0,Increased
ขอนแก่น,3.0,2.0,ภาคอีสาน,-1.0,Decreased
จันทบุรี,3.0,0.0,ภาคตะวันออก,-3.0,Decreased
ฉะเชิงเทรา,1.0,0.0,ภาคตะวันออก,-1.0,Decreased
ชลบุรี,7.0,5.0,ภาคตะวันออก,-2.0,Decreased
ตราด,1.0,0.0,ภาคตะวันออก,-1.0,Decreased
ตาก,2.0,0.0,ภาคเหนือ,-2.0,Decreased
นครปฐม,2.0,1.0,ภาคกลาง,-1.0,Decreased
นครราชสีมา,3.0,3.0,ภาคอีสาน,0.0,Stable
นครสวรรค์,1.0,0.0,ภาคเหนือ,-1.0,Decreased
นนทบุรี,8.0,8.0,ปริมณฑล,0.0,Stable
น่าน,0.0,2.0,ภาคเหนือ,2.0,Increased
ปทุมธานี,6.0,5.0,ปริมณฑล,-1.0,Decreased
ปราจีนบุรี,1.0,0.0,ภาคตะวันออก,-1.0,Decreased
พระนครศรีอยุธยา,2.0,0.0,ภาคกลาง,-2.0,Decreased
พิษณุโลก,2.0,1.0,ภาคเหนือ,-1.0,Decreased
ภูเก็ต,3.0,2.0,ภาคใต้,-1.0,Decreased
มุกดาหาร,1.0,0.0,ภาคอีสาน,-1.0,Decreased
ระยอง,5.0,3.0,ภาคตะวันออก,-2.0,Decreased
ลพบุรี,1.0,0.0,ภาคกลาง,-1.0,Decreased
ลำปาง,3.0,2.0,ภาคเหนือ,-1.0,Decreased
ลำพูน,1.0,2.0,ภาคเหนือ,1.0,Increased
สมุทรปราการ,8.0,7.0,ปริมณฑล,-1.0,Decreased
สมุทรสงคราม,1.0,1.0,ภาคกลาง,0.0,Stable
สมุทรสาคร,3.0,2.0,ปริมณฑล,-1.0,Decreased
สระบุรี,1.0,0.0,ภาคกลาง,-1.0,Decreased
อุดรธานี,1.0,1.0,ภาคอีสาน,0.0,Stable
เชียงราย,3.0,0.0,ภาคเหนือ,-3.0,Decreased
เชียงใหม่,7.0,6.0,ภาคเหนือ,-1.0,Decreased
แพร่,0.0,1.0,ภาคเหนือ,1.0,Increased
