district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key,2566_winner
PTE_2,2569,CONS,candidate,34.0,เพื่อไทย,34695,1,ปริมณฑล,ปทุมธานี,2,ปทุมธานี-2,97616,0.355423291,34,ปทุมธานี_2,ก้าวไกล
LRI_4,2569,CONS,candidate,34.0,เพื่อไทย,47865,1,ภาคกลาง,ลพบุรี,4,ลพบุรี-4,109708,0.436294527,34,ลพบุรี_4,ภูมิใจไทย
CNT_1,2569,CONS,candidate,34.0,เพื่อไทย,33605,1,ภาคกลาง,ชัยนาท,1,ชัยนาท-1,85157,0.394624047,34,ชัยนาท_1,รวมไทยสร้างชาติ
NMA_2,2569,CONS,candidate,34.0,เพื่อไทย,37543,1,ภาคอีสาน,นครราชสีมา,2,นครราชสีมา-2,95437,0.393379926,34,นครราชสีมา_2,ก้าวไกล
KKN_4,2569,CONS,candidate,34.0,เพื่อไทย,38701,1,ภาคอีสาน,ขอนแก่น,4,ขอนแก่น-4,92289,0.419345751,34,ขอนแก่น_4,ภูมิใจไทย
KSN_4,2569,CONS,candidate,34.0,เพื่อไทย,34051,1,ภาคอีสาน,กาฬสินธุ์,4,กาฬสินธุ์-4,82244,0.414024123,34,กาฬสินธุ์_4,ภูมิใจไทย
NPM_4,2569,CONS,candidate,34.0,เพื่อไทย,38829,1,ภาคอีสาน,นครพนม,4,นครพนม-4,91103,0.426209894,34,นครพนม_4,ภูมิใจไทย
CRI_1,2569,CONS,candidate,34.0,เพื่อไทย,40692,1,ภาคเหนือ,เชียงราย,1,เชียงราย-1,95437,0.426375515,34,เชียงราย_1,ก้าวไกล
KPT_3,2569,CONS,candidate,34.0,เพื่อไทย,30571,1,ภาคเหนือ,กำแพงเพชร,3,กำแพงเพชร-3,79347,0.385282367,34,กำแพงเพชร_3,พลังประชารัฐ
KPT_4,2569,CONS,candidate,34.0,เพื่อไทย,35163,1,ภาคเหนือ,กำแพงเพชร,4,กำแพงเพชร-4,83456,0.421335794,34,กำแพงเพชร_4,พลังประชารัฐ
