province,seats_2566,seats_2569,region,delta,status
กรุงเทพมหานคร,1.0,0.0,กรุงเทพ,-1.0,Decreased
กาญจนบุรี,4.0,2.0,ภาคกลาง,-2.0,Decreased
กาฬสินธุ์,4.0,4.0,ภาคอีสาน,0.0,Stable
กำแพงเพชร,0.0,2.0,ภาคเหนือ,2.0,Increased
ขอนแก่น,6.0,3.0,ภาคอีสาน,-3.0,Decreased
ฉะเชิงเทรา,2.0,1.0,ภาคตะวันออก,-1.0,Decreased
ชลบุรี,1.0,0.0,ภาคตะวันออก,-1.0,Decreased
ชัยนาท,0.0,1.0,ภาคกลาง,1.0,Increased
ชัยภูมิ,3.0,3.0,ภาคอีสาน,0.0,Stable
นครนายก,2.0,0.0,ภาคตะวันออก,-2.0,Decreased
นครพนม,2.0,2.0,ภาคอีสาน,0.0,Stable
นครราชสีมา,12.0,10.0,ภาคอีสาน,-2.0,Decreased
นครสวรรค์,1.0,0.0,ภาคเหนือ,-1.0,Decreased
น่าน,3.0,0.0,ภาคเหนือ,-3.0,Decreased
บึงกาฬ,1.0,0.0,ภาคอีสาน,-1.0,Decreased
ปทุมธานี,1.0,1.0,ปริมณฑล,0.0,Stable
พิษณุโลก,2.0,1.0,ภาคเหนือ,-1.0,Decreased
มหาสารคาม,5.0,1.0,ภาคอีสาน,-4.0,Decreased
ยโสธร,1.0,0.0,ภาคอีสาน,-1.0,Decreased
ร้อยเอ็ด,5.0,4.0,ภาคอีสาน,-1.0,Decreased
ลพบุรี,2.0,1.0,ภาคกลาง,-1.0,Decreased
ลำปาง,1.0,0.0,ภาคเหนือ,-1.0,Decreased
ลำพูน,1.0,0.0,ภาคเหนือ,-1.0,Decreased
ศรีสะเกษ,7.0,1.0,ภาคอีสาน,-6.0,Decreased
สกลนคร,5.0,3.0,ภาคอีสาน,-2.0,Decreased
สระบุรี,1.0,0.0,ภาคกลาง,-1.0,Decreased
สระแก้ว,1.0,0.0,ภาคตะวันออก,-1.0,Decreased
สุรินทร์,3.0,0.0,ภาคอีสาน,-3.0,Decreased
สุโขทัย,4.0,3.0,ภาคเหนือ,-1.0,Decreased
หนองคาย,2.0,0.0,ภาคอีสาน,-2.0,Decreased
หนองบัวลำภู,3.0,1.0,ภาคอีสาน,-2.0,Decreased
อุดรธานี,7.0,5.0,ภาคอีสาน,-2.0,Decreased
อุตรดิตถ์,3.0,1.0,ภาคเหนือ,-2.0,Decreased
อุบลราชธานี,4.0,3.0,ภาคอีสาน,-1.0,Decreased
เชียงราย,4.0,2.0,ภาคเหนือ,-2.0,Decreased
เชียงใหม่,2.0,0.0,ภาคเหนือ,-2.0,Decreased
เลย,3.0,3.0,ภาคอีสาน,0.0,Stable
แพร่,3.0,0.0,ภาคเหนือ,-3.0,Decreased
