district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key,2566_winner
UBN_2,2569,CONS,candidate,238.0,ไทรวมพลัง,33858,1,ภาคอีสาน,อุบลราชธานี,2,อุบลราชธานี-2,84801,0.39926416,238,อุบลราชธานี_2,ประชาธิปัตย์
SNK_2,2569,CONS,candidate,218.0,กล้าธรรม,23501,1,ภาคอีสาน,สกลนคร,2,สกลนคร-2,83486,0.281496299,218,สกลนคร_2,ประชาธิปัตย์
MSN_2,2569,CONS,candidate,63.0,ภูมิใจไทย,23410,1,ภาคเหนือ,แม่ฮ่องสอน,2,แม่ฮ่องสอน-2,70279,0.333100926,63,แม่ฮ่องสอน_2,ประชาธิปัตย์
PKN_2,2569,CONS,candidate,218.0,กล้าธรรม,41386,1,ภาคกลาง,ประจวบคีรีขันธ์,2,ประจวบคีรีขันธ์-2,98341,0.420841765,218,ประจวบคีรีขันธ์_2,ประชาธิปัตย์
PKN_3,2569,CONS,candidate,63.0,ภูมิใจไทย,31101,1,ภาคกลาง,ประจวบคีรีขันธ์,3,ประจวบคีรีขันธ์-3,93201,0.333698136,63,ประจวบคีรีขันธ์_3,ประชาธิปัตย์
NST_2,2569,CONS,candidate,63.0,ภูมิใจไทย,42139,1,ภาคใต้,นครศรีธรรมราช,2,นครศรีธรรมราช-2,89774,0.469389801,63,นครศรีธรรมราช_2,ประชาธิปัตย์
NST_5,2569,CONS,candidate,218.0,กล้าธรรม,34752,1,ภาคใต้,นครศรีธรรมราช,5,นครศรีธรรมราช-5,95930,0.362264151,218,นครศรีธรรมราช_5,ประชาธิปัตย์
NST_9,2569,CONS,candidate,63.0,ภูมิใจไทย,35278,1,ภาคใต้,นครศรีธรรมราช,9,นครศรีธรรมราช-9,78608,0.448783839,63,นครศรีธรรมราช_9,ประชาธิปัตย์
SKA_1,2569,CONS,candidate,63.0,ภูมิใจไทย,41498,1,ภาคใต้,สงขลา,1,สงขลา-1,91651,0.452782839,63,สงขลา_1,ประชาธิปัตย์
SKA_3,2569,CONS,candidate,63.0,ภูมิใจไทย,35127,1,ภาคใต้,สงขลา,3,สงขลา-3,100559,0.349317316,63,สงขลา_3,ประชาธิปัตย์
SKA_5,2569,CONS,candidate,218.0,กล้าธรรม,48514,1,ภาคใต้,สงขลา,5,สงขลา-5,96006,0.505322584,218,สงขลา_5,ประชาธิปัตย์
SKA_6,2569,CONS,candidate,63.0,ภูมิใจไทย,43976,1,ภาคใต้,สงขลา,6,สงขลา-6,84207,0.522236869,63,สงขลา_6,ประชาธิปัตย์
SKA_8,2569,CONS,candidate,218.0,กล้าธรรม,38399,1,ภาคใต้,สงขลา,8,สงขลา-8,89009,0.431405813,218,สงขลา_8,ประชาธิปัตย์
PLG_1,2569,CONS,candidate,63.0,ภูมิใจไทย,40279,1,ภาคใต้,พัทลุง,1,พัทลุง-1,109161,0.368987092,63,พัทลุง_1,ประชาธิปัตย์
PLG_3,2569,CONS,candidate,218.0,กล้าธรรม,44245,1,ภาคใต้,พัทลุง,3,พัทลุง-3,104566,0.423129889,218,พัทลุง_3,ประชาธิปัตย์
PTN_4,2569,CONS,candidate,218.0,กล้าธรรม,27479,1,ภาคใต้,ปัตตานี,4,ปัตตานี-4,75911,0.361989698,218,ปัตตานี_4,ประชาธิปัตย์
