region,province,district_number,district_label,winner_party,target_party,votes_rank1,votes_target,gap,bucket
ภาคอีสาน,อุดรธานี,7,อุดรธานี เขต 7,เพื่อไทย,ประชาชน,24883,24367,516,501-2500
ภาคอีสาน,ขอนแก่น,3,ขอนแก่น เขต 3,กล้าธรรม,ประชาชน,27524,26913,611,501-2500
ภาคกลาง,สระบุรี,1,สระบุรี เขต 1,ภูมิใจไทย,ประชาชน,29968,29118,850,501-2500
ภาคเหนือ,ลำปาง,2,ลำปาง เขต 2,กล้าธรรม,ประชาชน,33987,31810,2177,501-2500
ปริมณฑล,สมุทรปราการ,6,สมุทรปราการ เขต 6,ภูมิใจไทย,ประชาชน,33686,31359,2327,501-2500
ภาคตะวันออก,ระยอง,3,ระยอง เขต 3,ประชาธิปัตย์,ประชาชน,25516,22787,2729,2501-5000
ภาคตะวันออก,จันทบุรี,1,จันทบุรี เขต 1,ภูมิใจไทย,ประชาชน,31182,28065,3117,2501-5000
ภาคเหนือ,เชียงราย,6,เชียงราย เขต 6,กล้าธรรม,ประชาชน,26778,23469,3309,2501-5000
ภาคอีสาน,นครราชสีมา,2,นครราชสีมา เขต 2,เพื่อไทย,ประชาชน,37543,34078,3465,2501-5000
ภาคอีสาน,นครราชสีมา,13,นครราชสีมา เขต 13,เพื่อไทย,ประชาชน,26258,22693,3565,2501-5000
ภาคตะวันออก,ฉะเชิงเทรา,1,ฉะเชิงเทรา เขต 1,เพื่อไทย,ประชาชน,36976,33404,3572,2501-5000
ภาคตะวันออก,ชลบุรี,8,ชลบุรี เขต 8,ภูมิใจไทย,ประชาชน,35060,31463,3597,2501-5000
ภาคตะวันออก,ชลบุรี,1,ชลบุรี เขต 1,ภูมิใจไทย,ประชาชน,43703,39920,3783,2501-5000
ภาคใต้,สุราษฎร์ธานี,1,สุราษฎร์ธานี เขต 1,ภูมิใจไทย,ประชาชน,26079,21962,4117,2501-5000
ภาคอีสาน,ชัยภูมิ,1,ชัยภูมิ เขต 1,เพื่อไทย,ประชาชน,7812,3678,4134,2501-5000
ปริมณฑล,ปทุมธานี,2,ปทุมธานี เขต 2,เพื่อไทย,ประชาชน,34695,30206,4489,2501-5000
ภาคตะวันออก,ชลบุรี,3,ชลบุรี เขต 3,ภูมิใจไทย,ประชาชน,39906,34946,4960,2501-5000
ภาคอีสาน,สกลนคร,7,สกลนคร เขต 7,เพื่อไทย,ประชาชน,23035,16597,6438,5001-10000
ปริมณฑล,สมุทรสาคร,2,สมุทรสาคร เขต 2,ภูมิใจไทย,ประชาชน,32629,26049,6580,5001-10000
