region,province,district_number,district_label,winner_party,runner_up_party,votes_target,votes_rank2,margin,bucket
ปริมณฑล,สมุทรปราการ,5,สมุทรปราการ เขต 5,ประชาชน,ภูมิใจไทย,50599,13627,36972,10000+
กรุงเทพ,กรุงเทพมหานคร,30,กรุงเทพมหานคร เขต 30,ประชาชน,เพื่อไทย,44737,13620,31117,10000+
กรุงเทพ,กรุงเทพมหานคร,9,กรุงเทพมหานคร เขต 9,ประชาชน,ภูมิใจไทย,47108,16267,30841,10000+
ภาคเหนือ,ลำพูน,1,ลำพูน เขต 1,ประชาชน,เพื่อไทย,54610,24334,30276,10000+
กรุงเทพ,กรุงเทพมหานคร,12,กรุงเทพมหานคร เขต 12,ประชาชน,ภูมิใจไทย,44824,14631,30193,10000+
ปริมณฑล,สมุทรปราการ,4,สมุทรปราการ เขต 4,ประชาชน,เพื่อไทย,43764,14169,29595,10000+
กรุงเทพ,กรุงเทพมหานคร,24,กรุงเทพมหานคร เขต 24,ประชาชน,ภูมิใจไทย,43857,14391,29466,10000+
ปริมณฑล,ปทุมธานี,6,ปทุมธานี เขต 6,ประชาชน,เพื่อไทย,38628,9439,29189,10000+
ปริมณฑล,สมุทรปราการ,3,สมุทรปราการ เขต 3,ประชาชน,ประชาธิปัตย์,41362,12234,29128,10000+
กรุงเทพ,กรุงเทพมหานคร,6,กรุงเทพมหานคร เขต 6,ประชาชน,ประชาธิปัตย์,41394,12395,28999,10000+
กรุงเทพ,กรุงเทพมหานคร,31,กรุงเทพมหานคร เขต 31,ประชาชน,ภูมิใจไทย,42717,14350,28367,10000+
กรุงเทพ,กรุงเทพมหานคร,23,กรุงเทพมหานคร เขต 23,ประชาชน,ภูมิใจไทย,44381,16632,27749,10000+
ภาคเหนือ,เชียงใหม่,8,เชียงใหม่ เขต 8,ประชาชน,เพื่อไทย,54200,26586,27614,10000+
กรุงเทพ,กรุงเทพมหานคร,16,กรุงเทพมหานคร เขต 16,ประชาชน,เพื่อไทย,41727,14124,27603,10000+
กรุงเทพ,กรุงเทพมหานคร,28,กรุงเทพมหานคร เขต 28,ประชาชน,ภูมิใจไทย,37355,10169,27186,10000+
กรุงเทพ,กรุงเทพมหานคร,7,กรุงเทพมหานคร เขต 7,ประชาชน,ภูมิใจไทย,38574,11394,27180,10000+
กรุงเทพ,กรุงเทพมหานคร,29,กรุงเทพมหานคร เขต 29,ประชาชน,เพื่อไทย,42268,15968,26300,10000+
กรุงเทพ,กรุงเทพมหานคร,13,กรุงเทพมหานคร เขต 13,ประชาชน,ภูมิใจไทย,39644,13459,26185,10000+
กรุงเทพ,กรุงเทพมหานคร,33,กรุงเทพมหานคร เขต 33,ประชาชน,ประชาธิปัตย์,39831,14177,25654,10000+
กรุงเทพ,กรุงเทพมหานคร,26,กรุงเทพมหานคร เขต 26,ประชาชน,เพื่อไทย,40407,15641,24766,10000+
กรุงเทพ,กรุงเทพมหานคร,32,กรุงเทพมหานคร เขต 32,ประชาชน,ภูมิใจไทย,36963,12436,24527,10000+
กรุงเทพ,กรุงเทพมหานคร,8,กรุงเทพมหานคร เขต 8,ประชาชน,เพื่อไทย,39081,14919,24162,10000+
กรุงเทพ,กรุงเทพมหานคร,22,กรุงเทพมหานคร เขต 22,ประชาชน,ภูมิใจไทย,39831,16643,23188,10000+
ปริมณฑล,นนทบุรี,3,นนทบุรี เขต 3,ประชาชน,เพื่อไทย,35655,12683,22972,10000+
ภาคเหนือ,ลำปาง,1,ลำปาง เขต 1,ประชาชน,เพื่อไทย,44799,22423,22376,10000+
กรุงเทพ,กรุงเทพมหานคร,5,กรุงเทพมหานคร เขต 5,ประชาชน,ภูมิใจไทย,43394,21113,22281,10000+
กรุงเทพ,กรุงเทพมหานคร,19,กรุงเทพมหานคร เขต 19,ประชาชน,ภูมิใจไทย,38566,16377,22189,10000+
กรุงเทพ,กรุงเทพมหานคร,2,กรุงเทพมหานคร เขต 2,ประชาชน,ภูมิใจไทย,37055,15002,22053,10000+
ภาคเหนือ,เชียงใหม่,4,เชียงใหม่ เขต 4,ประชาชน,เพื่อไทย,42345,20501,21844,10000+
ภาคเหนือ,เชียงใหม่,1,เชียงใหม่ เขต 1,ประชาชน,เพื่อไทย,40228,18570,21658,10000+
กรุงเทพ,กรุงเทพมหานคร,21,กรุงเทพมหานคร เขต 21,ประชาชน,ประชาธิปัตย์,41256,19685,21571,10000+
ปริมณฑล,ปทุมธานี,4,ปทุมธานี เขต 4,ประชาชน,เพื่อไทย,36892,16662,20230,10000+
ปริมณฑล,นนทบุรี,1,นนทบุรี เขต 1,ประชาชน,ภูมิใจไทย,38190,18285,19905,10000+
ปริมณฑล,นนทบุรี,7,นนทบุรี เขต 7,ประชาชน,กล้าธรรม,37481,17660,19821,10000+
กรุงเทพ,กรุงเทพมหานคร,10,กรุงเทพมหานคร เขต 10,ประชาชน,เพื่อไทย,37489,17889,19600,10000+
ภาคเหนือ,เชียงใหม่,2,เชียงใหม่ เขต 2,ประชาชน,เพื่อไทย,43744,24147,19597,10000+
ปริมณฑล,สมุทรปราการ,1,สมุทรปราการ เขต 1,ประชาชน,เพื่อไทย,41275,22508,18767,10000+
กรุงเทพ,กรุงเทพมหานคร,1,กรุงเทพมหานคร เขต 1,ประชาชน,ประชาธิปัตย์,32564,14018,18546,10000+
ปริมณฑล,ปทุมธานี,5,ปทุมธานี เขต 5,ประชาชน,กล้าธรรม,30721,12184,18537,10000+
ปริมณฑล,ปทุมธานี,3,ปทุมธานี เขต 3,ประชาชน,ภูมิใจไทย,39732,21803,17929,10000+
ปริมณฑล,นนทบุรี,6,นนทบุรี เขต 6,ประชาชน,ภูมิใจไทย,42126,24213,17913,10000+
ปริมณฑล,นนทบุรี,2,นนทบุรี เขต 2,ประชาชน,ภูมิใจไทย,35675,18844,16831,10000+
ปริมณฑล,สมุทรปราการ,7,สมุทรปราการ เขต 7,ประชาชน,ภูมิใจไทย,43609,27420,16189,10000+
ภาคเหนือ,เชียงใหม่,3,เชียงใหม่ เขต 3,ประชาชน,เพื่อไทย,41778,26221,15557,10000+
กรุงเทพ,กรุงเทพมหานคร,15,กรุงเทพมหานคร เขต 15,ประชาชน,เพื่อไทย,35586,20601,14985,10000+
กรุงเทพ,กรุงเทพมหานคร,27,กรุงเทพมหานคร เขต 27,ประชาชน,เพื่อไทย,40639,25765,14874,10000+
กรุงเทพ,กรุงเทพมหานคร,3,กรุงเทพมหานคร เขต 3,ประชาชน,ประชาธิปัตย์,32753,18263,14490,10000+
กรุงเทพ,กรุงเทพมหานคร,14,กรุงเทพมหานคร เขต 14,ประชาชน,ภูมิใจไทย,36911,23065,13846,10000+
ภาคเหนือ,ลำพูน,2,ลำพูน เขต 2,ประชาชน,เพื่อไทย,46583,33089,13494,10000+
ภาคอีสาน,ขอนแก่น,2,ขอนแก่น เขต 2,ประชาชน,กล้าธรรม,38712,25333,13379,10000+
กรุงเทพ,กรุงเทพมหานคร,11,กรุงเทพมหานคร เขต 11,ประชาชน,เพื่อไทย,36844,23498,13346,10000+
กรุงเทพ,กรุงเทพมหานคร,25,กรุงเทพมหานคร เขต 25,ประชาชน,เพื่อไทย,33581,20596,12985,10000+
กรุงเทพ,กรุงเทพมหานคร,17,กรุงเทพมหานคร เขต 17,ประชาชน,ภูมิใจไทย,27187,15271,11916,10000+
กรุงเทพ,กรุงเทพมหานคร,18,กรุงเทพมหานคร เขต 18,ประชาชน,เพื่อไทย,31027,19113,11914,10000+
ปริมณฑล,สมุทรปราการ,8,สมุทรปราการ เขต 8,ประชาชน,เพื่อไทย,37562,26213,11349,10000+
ภาคอีสาน,ขอนแก่น,1,ขอนแก่น เขต 1,ประชาชน,ภูมิใจไทย,33395,22129,11266,10000+
ภาคกลาง,สมุทรสงคราม,1,สมุทรสงคราม เขต 1,ประชาชน,กล้าธรรม,37509,26780,10729,10000+
ปริมณฑล,สมุทรปราการ,2,สมุทรปราการ เขต 2,ประชาชน,เพื่อไทย,37424,27817,9607,5001-10000
ปริมณฑล,นนทบุรี,5,นนทบุรี เขต 5,ประชาชน,ภูมิใจไทย,39741,30248,9493,5001-10000
ปริมณฑล,นนทบุรี,8,นนทบุรี เขต 8,ประชาชน,ภูมิใจไทย,36749,27663,9086,5001-10000
ปริมณฑล,สมุทรสาคร,1,สมุทรสาคร เขต 1,ประชาชน,ประชาธิปัตย์,30284,21200,9084,5001-10000
กรุงเทพ,กรุงเทพมหานคร,4,กรุงเทพมหานคร เขต 4,ประชาชน,ประชาธิปัตย์,30477,21776,8701,5001-10000
ภาคอีสาน,นครราชสีมา,1,นครราชสีมา เขต 1,ประชาชน,เพื่อไทย,30597,21898,8699,5001-10000
ภาคเหนือ,ลำปาง,3,ลำปาง เขต 3,ประชาชน,กล้าธรรม,33259,25321,7938,5001-10000
ภาคตะวันออก,ระยอง,5,ระยอง เขต 5,ประชาชน,ภูมิใจไทย,35743,28154,7589,5001-10000
ภาคตะวันออก,ระยอง,1,ระยอง เขต 1,ประชาชน,ภูมิใจไทย,33569,26002,7567,5001-10000
ภาคตะวันออก,ชลบุรี,7,ชลบุรี เขต 7,ประชาชน,ภูมิใจไทย,37862,30427,7435,5001-10000
ปริมณฑล,ปทุมธานี,1,ปทุมธานี เขต 1,ประชาชน,เพื่อไทย,30452,23490,6962,5001-10000
ภาคเหนือ,น่าน,1,น่าน เขต 1,ประชาชน,กล้าธรรม,26359,20347,6012,5001-10000
ปริมณฑล,นนทบุรี,4,นนทบุรี เขต 4,ประชาชน,ภูมิใจไทย,28502,22506,5996,5001-10000
กรุงเทพ,กรุงเทพมหานคร,20,กรุงเทพมหานคร เขต 20,ประชาชน,เพื่อไทย,31037,25374,5663,5001-10000
ภาคเหนือ,น่าน,3,น่าน เขต 3,ประชาชน,เพื่อไทย,20029,14516,5513,5001-10000
ภาคตะวันออก,ระยอง,2,ระยอง เขต 2,ประชาชน,ประชาธิปัตย์,30488,25516,4972,2501-5000
ภาคเหนือ,เชียงใหม่,5,เชียงใหม่ เขต 5,ประชาชน,เพื่อไทย,34191,30329,3862,2501-5000
ภาคตะวันออก,ชลบุรี,6,ชลบุรี เขต 6,ประชาชน,ภูมิใจไทย,36759,33008,3751,2501-5000
ภาคตะวันออก,ชลบุรี,10,ชลบุรี เขต 10,ประชาชน,ภูมิใจไทย,25552,22072,3480,2501-5000
ภาคอีสาน,นครราชสีมา,14,นครราชสีมา เขต 14,ประชาชน,เพื่อไทย,29772,26528,3244,2501-5000
ปริมณฑล,สมุทรสาคร,3,สมุทรสาคร เขต 3,ประชาชน,กล้าธรรม,28126,25118,3008,2501-5000
ภาคตะวันออก,ชลบุรี,9,ชลบุรี เขต 9,ประชาชน,ภูมิใจไทย,24410,21976,2434,501-2500
ภาคเหนือ,แพร่,3,แพร่ เขต 3,ประชาชน,เพื่อไทย,23574,21142,2432,501-2500
ภาคใต้,ภูเก็ต,2,ภูเก็ต เขต 2,ประชาชน,ภูมิใจไทย,21359,18945,2414,501-2500
ภาคใต้,ภูเก็ต,1,ภูเก็ต เขต 1,ประชาชน,ภูมิใจไทย,18463,16221,2242,501-2500
ภาคอีสาน,อุดรธานี,1,อุดรธานี เขต 1,ประชาชน,เพื่อไทย,29523,28071,1452,501-2500
ภาคตะวันออก,ชลบุรี,2,ชลบุรี เขต 2,ประชาชน,ภูมิใจไทย,28143,27060,1083,501-2500
ภาคกลาง,นครปฐม,6,นครปฐม เขต 6,ประชาชน,ภูมิใจไทย,35930,35035,895,501-2500
ภาคเหนือ,พิษณุโลก,1,พิษณุโลก เขต 1,ประชาชน,เพื่อไทย,32516,31628,888,501-2500
ภาคอีสาน,นครราชสีมา,3,นครราชสีมา เขต 3,ประชาชน,เพื่อไทย,35910,35380,530,501-2500
