province,district_number,district_label,winner_party,cat_91,cat_92,flag_93,share_rk1,share_rk2,share_rk3
กรุงเทพมหานคร,4,กรุงเทพมหานคร เขต 4,ประชาชน,D,E,True,0.4076645264847512,0.29127875869448905,0.13029695024077045
กรุงเทพมหานคร,11,กรุงเทพมหานคร เขต 11,ประชาชน,D,E,True,0.3868948860653155,0.24674997374776855,0.20390633203822325
กรุงเทพมหานคร,20,กรุงเทพมหานคร เขต 20,ประชาชน,D,E,True,0.3933065527859795,0.32154397881210955,0.08851520028385691
กาญจนบุรี,2,กาญจนบุรี เขต 2,ภูมิใจไทย,D,E,True,0.39663355524287547,0.26870655438183844,0.16126593443518072
กาญจนบุรี,3,กาญจนบุรี เขต 3,ภูมิใจไทย,D,E,True,0.45155264551538205,0.3613981031245487,0.11435174040729863
กาญจนบุรี,5,กาญจนบุรี เขต 5,เพื่อไทย,D,E,True,0.43756648778988677,0.30463818822250066,0.15812864944091157
กาฬสินธุ์,1,กาฬสินธุ์ เขต 1,เพื่อไทย,D,E,True,0.3964328715648527,0.23841278662062212,0.19193162121753396
กาฬสินธุ์,3,กาฬสินธุ์ เขต 3,กล้าธรรม,D,E,True,0.33276492717024847,0.18072712599091417,0.17544225036772843
กาฬสินธุ์,4,กาฬสินธุ์ เขต 4,เพื่อไทย,D,E,True,0.4140241233403045,0.2944652497446622,0.1256505033801858
กำแพงเพชร,2,กำแพงเพชร เขต 2,กล้าธรรม,D,E,True,0.4157521048883676,0.32785992543878023,0.13626272357893854
กำแพงเพชร,3,กำแพงเพชร เขต 3,เพื่อไทย,D,E,True,0.38528236732327625,0.3528047689263614,0.11461050827378477
กำแพงเพชร,4,กำแพงเพชร เขต 4,เพื่อไทย,D,E,True,0.4213357937116564,0.3100076687116564,0.14606499233128833
ขอนแก่น,1,ขอนแก่น เขต 1,ประชาชน,D,E,True,0.3869013138077253,0.2563778761267002,0.17051694974164097
ขอนแก่น,2,ขอนแก่น เขต 2,ประชาชน,D,E,True,0.387596743995114,0.253641979634951,0.15565145128508065
ขอนแก่น,3,ขอนแก่น เขต 3,กล้าธรรม,D,E,True,0.3302536536200235,0.32292241606872885,0.23758729092174413
ขอนแก่น,5,ขอนแก่น เขต 5,กล้าธรรม,D,E,True,0.4263920671243326,0.37304692305799564,0.10526315789473684
ขอนแก่น,7,ขอนแก่น เขต 7,เพื่อไทย,D,E,True,0.3645185985769612,0.23485769611816626,0.17630370170224263
ขอนแก่น,8,ขอนแก่น เขต 8,กล้าธรรม,D,E,True,0.3547152009829735,0.2893957345971564,0.1892991925574864
