province,district_label,cat_92
กระบี่,กระบี่ เขต 1,E
กระบี่,กระบี่ เขต 2,E
กระบี่,กระบี่ เขต 3,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 1,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 2,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 3,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 4,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 5,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 6,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 7,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 8,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 9,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 10,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 11,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 12,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 13,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 14,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 15,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 16,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 17,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 18,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 19,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 20,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 21,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 22,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 23,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 24,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 25,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 26,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 27,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 28,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 29,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 30,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 31,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 32,E
กรุงเทพมหานคร,กรุงเทพมหานคร เขต 33,E
กาญจนบุรี,กาญจนบุรี เขต 1,E
กาญจนบุรี,กาญจนบุรี เขต 2,E
กาญจนบุรี,กาญจนบุรี เขต 3,E
กาญจนบุรี,กาญจนบุรี เขต 4,E
กาญจนบุรี,กาญจนบุรี เขต 5,E
กาฬสินธุ์,กาฬสินธุ์ เขต 1,E
กาฬสินธุ์,กาฬสินธุ์ เขต 2,E
กาฬสินธุ์,กาฬสินธุ์ เขต 3,E
กาฬสินธุ์,กาฬสินธุ์ เขต 4,E
กาฬสินธุ์,กาฬสินธุ์ เขต 5,E
กาฬสินธุ์,กาฬสินธุ์ เขต 6,E
กำแพงเพชร,กำแพงเพชร เขต 1,E
กำแพงเพชร,กำแพงเพชร เขต 2,E
กำแพงเพชร,กำแพงเพชร เขต 3,E
กำแพงเพชร,กำแพงเพชร เขต 4,E
ขอนแก่น,ขอนแก่น เขต 1,E
ขอนแก่น,ขอนแก่น เขต 2,E
ขอนแก่น,ขอนแก่น เขต 3,E
ขอนแก่น,ขอนแก่น เขต 4,E
ขอนแก่น,ขอนแก่น เขต 5,E
ขอนแก่น,ขอนแก่น เขต 6,E
ขอนแก่น,ขอนแก่น เขต 7,E
ขอนแก่น,ขอนแก่น เขต 8,E
ขอนแก่น,ขอนแก่น เขต 9,E
ขอนแก่น,ขอนแก่น เขต 10,E
ขอนแก่น,ขอนแก่น เขต 11,E
จันทบุรี,จันทบุรี เขต 1,E
จันทบุรี,จันทบุรี เขต 2,E
จันทบุรี,จันทบุรี เขต 3,E
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 1,E
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 2,E
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 3,E
ฉะเชิงเทรา,ฉะเชิงเทรา เขต 4,E
ชลบุรี,ชลบุรี เขต 1,E
ชลบุรี,ชลบุรี เขต 2,E
ชลบุรี,ชลบุรี เขต 3,E
ชลบุรี,ชลบุรี เขต 4,E
